iter	Logloss
0	0.6501759082
1	0.6097046877
2	0.5697415687
3	0.527380883
4	0.4862502251
5	0.4616163539
6	0.433511146
7	0.4108296815
8	0.3872110404
9	0.3705326393
10	0.3576899038
11	0.3470275893
12	0.338170841
13	0.329924967
14	0.3147137723
15	0.3017064616
16	0.291720887
17	0.282316201
18	0.2762273513
19	0.270546653
20	0.266696098
21	0.2560886721
22	0.2510018731
23	0.246447058
24	0.2424656343
25	0.23882031
26	0.2341047702
27	0.2301819637
28	0.2272132439
29	0.2233331542
30	0.2197771752
31	0.2158185165
32	0.2130432648
33	0.2104009226
34	0.2082595436
35	0.2056883376
36	0.2017254338
37	0.2003975171
38	0.1973999412
39	0.1954492156
40	0.193772151
41	0.1905069176
42	0.1893378506
43	0.1865242432
44	0.1844496215
45	0.1829757444
46	0.1812479316
47	0.1797626816
48	0.178453647
49	0.177031108
50	0.1752275183
51	0.1743888614
52	0.1730589299
53	0.1721557146
54	0.1707334435
55	0.1699429327
56	0.1687536325
57	0.1677762437
58	0.1658692115
59	0.1645101227
60	0.1628386169
61	0.161073771
62	0.1594506836
63	0.1584407113
64	0.1573672114
65	0.1562525917
66	0.1556530051
67	0.1545165727
68	0.1539785332
69	0.1528964189
70	0.1518291517
71	0.1513052911
72	0.1493652098
73	0.1475313662
74	0.146766437
75	0.1457402398
76	0.1450473922
77	0.1439214881
78	0.1435568497
79	0.1418979067
80	0.140275352
81	0.139642497
82	0.1391097921
83	0.1386529997
84	0.1379374266
85	0.1371005838
86	0.1367459857
87	0.1359074144
88	0.1349321638
89	0.1340476217
90	0.1334447663
91	0.1319684455
92	0.1311444891
93	0.130756038
94	0.1303138203
95	0.1296003101
96	0.1286890152
97	0.1275632442
98	0.1269968369
99	0.1259041495
100	0.1253503225
101	0.125154711
102	0.124567611
103	0.1232680993
104	0.1225985343
105	0.1213763878
106	0.1211804779
107	0.1206294996
108	0.1201188385
109	0.1199316708
110	0.1188901119
111	0.1179334409
112	0.1170252134
113	0.1165358728
114	0.1157332674
115	0.1145356759
116	0.1136374356
117	0.1131348897
118	0.1129611311
119	0.1127101186
120	0.1123245344
121	0.1117019075
122	0.1106142991
123	0.1099303877
124	0.1094658796
125	0.1085914966
126	0.1082239443
127	0.107739577
